Date,Original Title,Outlet,Format,Link,Highlight,Author,Excerpt
5/18/20,How COVID-19 Overwhelmed The American State,Huffington Post,Quote,https://www.huffpost.com/entry/us-unemployment-health-care-coronavirus-europe_n_5ebef6f1c5b678dd13cc04bb,,NA,"â€śOwners and workers and the government can sit down at a table â€• like, not a metaphor, they really sit down and figure out how to solve the labor questions,â€ť said Mike Konczal, an economic analyst and writer at the Roosevelt Institute. â€śHere in the U.S., thereâ€™s nothing like that where we see that kind of negotiation with the labor movement.â€ť"
5/29/20,Unemployment Insurance Is a Vital Part of Economic Freedom,The Nation,Article,https://www.thenation.com/article/economy/cares-act-unemployment/,,Mike Konczal,Finding a way to provide economic security to our fractured labor force is one of the central goals of our time.
5/29/20,026 - Mike Konczal of the Roosevelt Institute,Gin and Tacos: Mass for Shut-ins,Podcast,https://massforshutins.libsyn.com/026-mike-konczal-of-the-roosevelt-institute,,NA,"Guest: Financial policy guru Mike Konczal (@rortybomb) explains what should be happening in response to the economic crisis, what is happening, and why those two are different."
5/30/20,"Republicans hate this part of COVID-19 relief because it works, this week in the war on workers",Daily Kos,Quote,https://www.dailykos.com/stories/2020/5/30/1939686/-Republicans-hate-this-part-of-COVID-19-relief-because-it-works-this-week-in-the-war-on-workers,,NA,"But unfortunately, Mike Konczal points out, when it comes to that extra $600 a week, â€śRepublicans understand the stakes involved, even if many liberals do not. Increasing unemployment insurance not only moves money to the lowest-wage workers, who need it the most, but it also empowers employees and builds the case for social insurance.â€ť"
6/3/20,The Economic Threat To Democracy,XRAY Podcast,Podcast,https://xraypod.com/show/democracy-nerd/the-economic-threat-to-democracy,,NA,"In this episode, Jefferson speaks with Mike Konzcal, Director of Progressive Thought from the Roosevelt Institute who points out the threats of conservative economic policy to our democracy."
7/7/20,Congress May Offer More Housing Relief. Will It Be Enough to Avert Disaster for Cities?,NextCity,Quote,https://nextcity.org/daily/entry/congress-may-offer-more-housing-relief-will-it-be-enough-to-avert-disaster,,NA,"The CARES Act stimulus was important because it pumped about a trillion dollars into an economy that had otherwise almost completely shut down, says Mike Konczal, the director of progressive thought at the left-leaning Roosevelt Institute. If the federal government pulls back on unemployment insurance and other economic stimulus at the same time as eviction moratoria are expiring, the effects could be catastrophic, Konczal says."
7/16/20,"What America's Thinking: July 16, 2020",The Hill TV,TV,https://thehill.com/hilltv/what-americas-thinking/507712-what-americas-thinking-july-16-2020,,NA,"Mike Konczal, Director of Progressive Thought at the Roosevelt Institute, joins Hill TV to explain voters' candidate preferences on various economic issues.Â "
7/18/20,The GOP Coalition Is Getting More Working-Class. Its Agenda Isnâ€™t.,New York Magazine,Quote,https://nymag.com/intelligencer/2020/07/rightwing-populism-post-trump-gop.html,,NA,"Instead, as the Roosevelt Instituteâ€™s Mike Konczal notes, the GOPâ€™s putative populists, like Missouri senator Josh Hawley, have opposed pro-union reforms and minimum-wage hikes."
7/20/20,Youâ€™re Only As Free as You Are Wealthy,The Nation,Quote,https://www.thenation.com/article/politics/freedom-coronavirus-economy/,,NA,"NationÂ contributor and Roosevelt Institute director Mike Konczal has called them Buddy Garrity Republicans, after the meddling character inÂ Friday Night LightsÂ who wields economic power in his small town because he owns the Chevy dealership."
7/25/20,The GOPâ€™s Procrastination on COVID Relief Is Inexcusable,New York Magazine,Quote,https://nymag.com/intelligencer/2020/07/the-gops-procrastination-on-covid-relief-is-inexcusable.html,,NA,"In fact, one of the primary reasons why the post-2008 recovery was so slow and weak was that states and cities were laying off workers and canceling investment projects for the bulk of it. As the Roosevelt Instituteâ€™s Mike Konczal and J.W. Mason have illustrated."
7/30/20,The 2020 Election Doesnâ€™t Really Matter to Republicans,The New Republic,Quote,https://newrepublic.com/article/158675/2020-election-republican-party,,NA,"The Roosevelt Instituteâ€™s Mike Konczal summed the situation up well in a March 2018 blog post. â€śAt best, the Rightâ€™s policy voices are all ideas and no consequences,â€ť he wrote."
7/30/20,"As Pandemic Rages, the United States Slashes an Economic Lifeline",The Foreign Policy Magazine,Quote,https://foreignpolicy.com/2020/07/30/pandemic-rages-united-states-slashes-economic-lifeline-federal-unemployment-compensation/,,NA,"â€śThe unemployment insurance worked,â€ť Konczal said. â€śIt showed us that our government has the capacity to ensure peopleâ€™s economic security through deep depression and global health crisis in a way that should surprise us.â€ť"
8/6/20,"Debt, Debt, Goose",New York Times,Quote,https://www.nytimes.com/2020/08/06/opinion/debt-coronavirus-senate-republicans.html,,NA,"Liberal writers and economists, like Mike Konczal of the Roosevelt Institute, were critical of Fitchâ€™s rationale."
8/21/20,Can Joe Biden Unrig the Economy?,The Nation,Article,https://www.thenation.com/article/economy/biden-tax-plan/,,Mike Konczal,The former vice presidentâ€™s bold scheme provides a useful reference for where the tax discourse among progressives should go next.
8/21/20,Biden presiding over family fight over how much should be spent to resurrect economy,Washington Post,Quote,https://www.washingtonpost.com/politics/2020/08/21/finance-202-biden-presiding-over-family-fight-over-how-much-should-be-spent-resurrect-economy/,,NA,Konczal argues as a consequence the federal response must include â€śoverdueâ€ť investments â€śto transition our economy and employ workers in new fieldsâ€¦Â The arguments for those investments being debt-financed were strong last year; theyâ€™ve only become stronger during this high-stakes moment.â€ť
9/23/20,We can end Americaâ€™s unemployment nightmare,Vox,Quote,https://www.vox.com/the-highlight/21430930/covid-unemployment-600-cares-act-the-great-rebuild,,NA,"â€śPeople are right to be upset about the delays and the backlogs and the problems, but I think the promise of unemployment insurance is definitely here, which is, you can stabilize incomes through a very harsh business cycle,â€ť said Mike Konczal."
9/25/20,A Federal Reserve Reform Agenda: Eight Recommendations,Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/a-federal-reserve-reform-agenda-eight-recommendations/,,NA,"The Federal Reserve has been and will be vital in addressing multiple economic crises: the COVID-19 pandemic, long-standing structural racism, and the worsening effects of climate change. To address these concerns successfully, the Federal Reserve must do the following."
10/27/20,The Worldâ€™s Best Bureaucrat,New York Magazine,Quote,https://nymag.com/intelligencer/article/jerome-powell-federal-reserve-profile.html,,NA,"Some voices on the left, such as Mike Konczal of the Roosevelt Institute, have urged the Fed to shoulder fiscal activities ordinarily conducted by Congress, with a greater willingness to lend money and accept the risk that it wonâ€™t get paid back."
11/2/20,Why a Biden Administration Needs to Spend Big,The Nation,Article,https://www.thenation.com/article/economy/deficit-spending-budget/,,Mike Konczal,"We are entering what Iâ€™m calling the Era of Large Numbers: massive spending, giant deficits, a high debt-to-GDP ratio. It is important to understand why this is necessary and why we must defend it from opportunistic opposition."
11/24/20,Low interest rates are a curse â€” we need massive fiscal imprudence,Slow Boring,Quote,https://www.slowboring.com/p/low-interest-rates-are-a-curse-we,,NA,"Here, courtesy of the Roosevelt Instituteâ€™s Mike Konczal, is a chart comparing the Congressional Budget Officeâ€™s forecasts of what interest rates will be (in black) with where they actually go (in red). You can see that for the past 25 years, the CBO forecast is always off and always because they guess too high."
1/11/21,Time Is the Universal Measure of Freedom,Boston Review,Article,http://bostonreview.net/class-inequality-law-justice/mike-konczal-time-universal-measure-freedom,,Mike Konczal,NA
1/11/21,Now it's sinking in: Wednesday's Capitol Hill riot was even more violent than it first appeared,CNN,Quote,https://www.cnn.com/2021/01/09/media/reliable-sources-january-8/index.html,,Brian Stelter,NA
1/12/21,FREEDOM FROM THE MARKET,LGM Podcast,Podcast,https://www.lawyersgunsmoneyblog.com/2021/01/lgm-podcast-market,,Erik Loomis,NA
1/12/21,"Biden likely to tap Gary Gensler to lead SEC, but the decision isnâ€™t final",Washington Post,Quote,https://www.washingtonpost.com/us-policy/2021/01/12/gensler-biden-sec/,,Jeff Stein,NA
1/15/21,Americaâ€™s Supposedly Socialist History,National Review,Quote,https://www.nationalreview.com/2021/01/americas-supposedly-socialist-history/,,Stephen Eide,NA
1/19/21,When Medicare Helped Kill Jim Crow,The Nation,Article,https://www.thenation.com/article/politics/health-care-freedom-medicare/,,Mike Konczal,NA
1/21/21,Freedom from marketâ€Şsâ€¬,Vox - The Weeds,Podcast,https://www.stitcher.com/show/voxs-the-weeds/episode/freedom-from-markets-81017167,,Matt Yglesias,NA
1/27/21,America has forgotten how to be free,The Week,Quote,https://theweek.com/articles/963196/america-forgotten-how-free,,Ryan Cooper,NA
1/29/21,Politics: Of Markets and Morals,Wall Street Journal,Quote,https://www.wsj.com/articles/politics-of-markets-and-morals-11611961820,,Barton Swaim,NA
1/30/21,"Episode 175 - Americaâ€™s Tradition of Egalitarian Freedom, with Mike Konczal",Left Anchor,Podcast,https://leftanchor.podbean.com/e/episode-175-americas-tradition-of-egalitarian-freedom-with-mike-konczal/,,Ryan Cooper,NA
2/4/21,Resisting Market Rule,LA Review of Books,Quote,https://lareviewofbooks.org/article/resisting-market-rule,,Justin H. Vassallo,NA
2/5/21,An Appalled Republican Considers the Future of the G.O.P.,New York Times - The Ezra Klein Show,Quote,https://www.nytimes.com/2021/02/05/opinion/ezra-klein-podcast-yuval-levin.html?showTranscript=1,,Ezra Klein,NA
2/5/21,New Jobs Report Bolsters Case For Bidenâ€™s Stimulus,New York Magazine,Quote,https://nymag.com/intelligencer/2021/02/new-jobs-report-bolsters-case-for-biden-covid-stimulus.html,,Eric Levitz,NA
2/6/21,Social Welfare Is as American as Apple Pie,Foreign Policy Magazine,Quote,https://foreignpolicy.com/2021/02/06/social-welfare-is-as-american-as-apple-pie/,,Bryce Covert,NA
2/16/21,Market Value Can Capitalism Serve Democracy?,Foreign Affairs Magazine,Quote,https://www.foreignaffairs.com/reviews/review-essay/2021-02-16/market-value,,Binyamin Appelbaum,NA
2/25/21,What Josh Hawley's minimum wage proposal has in common with his election lies,The Week Magazine,Quote,https://theweek.com/articles/968866/what-josh-hawleys-minimum-wage-proposal-common-election-lies,,Nathan Newman,NA
3/9/21,How Austerity Politics End,In These Times,Quote,https://inthesetimes.com/article/democrats-biden-deficit-american-rescue-plan-covid-stimulus-relief,,Miles Kampf-Lassin,NA
3/9/21,Hidden provisions in Bidenâ€™s rescue bill make this a bigger deal than you thought,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/03/09/hidden-provisions-bidens-rescue-bill-make-this-bigger-deal-than-you-thought/,,Paul Waldman,NA
3/10/21,Five Things The COVID-19 Bill Revealed About How Washington Will Work In The Biden Era,FiveThirtyEight,Quote,https://fivethirtyeight.com/features/five-things-the-covid-19-bill-revealed-about-how-washington-will-work-in-the-biden-era/,,Perry Bacon Jr.,NA
3/10/21,Bidenâ€™s rescue plan says child care is too important to leave to the market,Quartz,Quote,https://qz.com/1981895/bidens-rescue-plan-says-childcare-cant-be-left-to-markets/,,Tim Fernholz,NA
3/12/21,Joe Biden and the new era of big government,Financial Times,Quote,https://www.ft.com/content/12c7608f-b15c-4109-971c-8946e72602cf?FTCamp=engage/CAPI/website/Channel_muckrack//B2B,,James Politi,NA
3/15/21,Did We Just Experience a Break in the Neoliberal Consensus?,Bloomberg - Odd Lots,Podcast,https://www.bloomberg.com/news/articles/2021-03-15/did-we-just-experience-a-break-in-the-neoliberal-consensus?sref=gMvqgK3G,,"Tracy Alloway, Joe Weisenthal",NA
3/15/21,Biden Chooses Prosperity Over Vengeance,The Atlantic,Quote,https://www.theatlantic.com/ideas/archive/2021/03/biden-chose-prosperity-over-vengeance/618279/,,Adam Serwer,NA
3/15/21,Right-Wing Lawyer Locked And Loaded To Strip Voting Rights,Crooks and Liars,Quote,https://crooksandliars.com/2021/03/trump-lawyer-claims-more-people-voting,,Karoli Kuns,NA
3/15/21,Biden and the Democratsâ€™ body blows to conservatism must keep coming,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/03/15/biden-democrats-relief-bill-mike-konczal/,,Greg Sargent,NA
3/15/21,What'd You Miss?' Full Show (03/15/2021),Bloomberg - What'd You Miss,TV,https://www.bloomberg.com/news/videos/2021-03-15/-what-d-you-miss-full-show-03-15-2021-video,,"Caroline Hyde, Romaine Bostick & Joe Weisenthal",NA
3/17/21,"Biden Goes Bipartisan by Courting GOP Voters, Not Just Lawmakers",Bloomberg,Quote,https://www.bloomberg.com/news/articles/2021-03-18/biden-s-build-back-better-needs-to-appeal-to-gop-voters-not-just-lawmakers?sref=gMvqgK3G,,Peter Coy,NA
3/19/21,Bidenâ€™s Next Goal Should Be Full Employment,The Nation,Article,https://www.thenation.com/article/economy/jobs-stimulus-employment/,,Mike Konczal,NA
3/23/21,The Roaring 20s,Crooked Media - Rubicon,Podcast,https://crooked.com/podcast/the-roaring-20s/,,Brian Beutler,NA
3/31/21,Bidenâ€™s big bet: Heâ€™s found the kryptonite that will defeat Trumpism,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/03/31/biden-big-bet-infrastructure-plan-trumpism/,,Greg Sargent,NA
4/2/21,1 million US jobs a month arenâ€™t enough,Quartz,Quote,https://qz.com/1992183/the-us-had-a-good-jobs-report-in-march-now-it-needs-14-more/,,Tim Fernholz,NA
4/6/21,Winning Back Our Freedom From the Market (with Mike Konczal),Pitchfork Economics,Podcast,https://pitchforkeconomics.com/episode/winning-back-our-freedom-from-the-market-with-mike-konczal/,,Nick Hanauer,NA
4/6/21,Karl Polanyiâ€™s Great Transformation and the Countermovement to Capitalism,Jacobin Magazine,Quote,https://www.jacobinmag.com/2021/04/karl-polanyi-the-great-transformation-neoliberalism-countermovement-capitalism,,Gareth Dale,NA
4/10/21,How wealthy Americans and corporations have used 'negative freedom' to strip rights away from workers,Business Insider,Quote,https://www.businessinsider.com/workers-rights-big-wealthy-business-freedom-economics-2021-4?r=UK&IR=T,,Paul Constant,NA
4/12/21,Inflation Is About to Look Freaky,Slate,Quote,https://slate.com/business/2021/04/inflation-is-about-to-look-freaky.html,,Jordan Weissmann,NA
4/20/21,Bidenâ€™s next big plan could blow up one of the GOPâ€™s worst lies,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/04/20/bidens-next-big-plan-could-blow-up-one-gops-biggest-lies/,,Greg Sargent,NA
4/28/21,"Biden so far! Economy, time, revolution!",KPFA,Radio,https://kpfa.org/episode/talkies-april-28-2021/,,Kris Welch,NA
4/30/21,Joe Biden Wants to Transform Care Work in America,The Nation,Article,https://www.thenation.com/article/society/biden-care-work-american-jobs-plan/,,Mike Konczal,NA
4/30/21,Joe Biden Wants to Transform Care Work in America,The Nation,Article,https://www.thenation.com/article/society/biden-care-work-american-jobs-plan/,,Mike Konczal,We must start by viewing care work as an essential component not just of the economy but of life itself.
5/3/21,Biden's first 100 days are a big break with the Reagan legacy. He says jobs and families need an active state.,Business Insider,Quote,https://www.businessinsider.com/biden-first-100-days-trickle-down-reagan-legacy-big-government-2021-4,,Joseph Zeballos-Roig,NA
5/3/21,Universal pre-K: Common sense or calamity?,The Madison Leader Gazette,Quote,https://wmleader.com/general-other/26519/universal-pre-k-common-sense-or-calamity/,,many,NA
5/3/21,"A New Deal, This Time for Everyone",New York Times,Quote,https://www.nytimes.com/2021/05/03/opinion/biden-new-deal.html,,Binyamin Appelbaum,NA
5/7/21,It Took the Democrats Half a Century to Rediscover Trickle-Up Economics,The New Republic,Quote,https://newrepublic.com/article/162334/trickle-up-economics-biden-lbj-democrats,,Bruce Bartlett,NA
5/17/21,The black box economy,Vox,Quote,https://www.vox.com/policy-and-politics/22435400/economy-unemployment-inflation,,Emily Stewart,NA
5/18/21,Democrats can claim the â€�family valuesâ€™ mantle with paid leave and affordable child care,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/05/18/democrats-can-claim-family-values-mantle-with-paid-leave-affordable-child-care/,,Katrina vanden Heuvel,NA
5/20/21,"Fears Of Grinding, Post-2008-esque Recovery Plague Debate Over Reviving Economy",Talking Points Memo,Quote,https://talkingpointsmemo.com/news/covid-unemployment-insurance-reviving-economy,,"Josh Kovensky, Summer Concepcion",NA
5/28/21,A Massive Week for a $30 Trillion Industry,Bloomberg,Quote,https://www.bloomberg.com/news/newsletters/2021-05-28/odd-lots-newsletter-a-massive-week-for-a-30-trillion-industry?sref=gMvqgK3G,,"Tracy Alloway, Joe Weisenthal",NA
6/4/21,Mayâ€™s solidly meh jobs report,Vox,Quote,https://www.vox.com/policy-and-politics/2021/6/4/22517956/may-jobs-report-unemployment-rate,,Emily Stewart,NA
6/4/21,Supply Constraints Are NOT GREAT BOB': Economists React To May Jobs Report On Twitter,BisNow,Quote,https://www.bisnow.com/national/news/economy/may-2021-jobs-report-109127,,Jay Rickey,NA
6/15/21,How to Have a Roaring 2020s (Without Wild Inflation),New York Times,Article,https://www.nytimes.com/2021/06/15/opinion/inflation-economy-infrastructure.html,,"Mike Konczal, JW Mason",NA
6/16/21,Trumpâ€™s Final Days Look Increasingly Corrupt,Bloomberg - Early Returns,Quote,https://www.bloomberg.com/opinion/articles/2021-06-16/donald-trump-s-final-days-look-increasingly-corrupt?sref=gMvqgK3G,,Jonathan Bernstein,NA
6/21/21,Why patience is the greatest economic virtue this year,The Week,Quote,https://theweek.com/business/1001778/economic-predictions-pandemic-inflation,,Ryan Cooper,NA
6/21/21,These Charts of the Economy During World War II Are Reassuring,Bloomberg,Quote,https://www.bloomberg.com/news/articles/2021-06-21/these-charts-of-the-economy-during-world-war-ii-are-reassuring?sref=gMvqgK3G,,Peter Coy,NA
6/22/21,Conservatives should love full employment because it makes conservative talking points about the economy true,Business Insider,Quote,https://www.businessinsider.com/conservatives-should-love-full-employment-tight-labor-market-high-wages-2021-6,,Josh Barro,NA
6/22/21,Summer books of 2021: Economics,Financial Times,Quote,https://www.ft.com/content/239f31cb-57a3-43d3-ab3d-d18d068f4994,,Martin Wolf,NA
6/24/21,Freedomâ€™s Just Another Wordâ€¦,Democracy Journal,Quote,https://democracyjournal.org/magazine/61/freedoms-just-another-word/,,Molly Michelmore,NA
6/28/21,Power Shift,The Signal,Quote,https://www.thesgnl.com/2021/06/labor-power-us-mike-konczal/,,Michael Bluhm,NA
7/2/21,Unpacking the COVID-19 Labor Shortage,Rosa Luxemburg Stiftung,Quote,https://rosalux.nyc/unpacking-the-covid-19-labor-shortage/,,Michelle Chen,NA
7/6/21,Fourth Stimulus Check Petition Gets 2.5 Million Supporters: Will Another Direct Payment Arrive?,Internatinoal Business Times,Quote,https://www.ibtimes.com/fourth-stimulus-check-petition-gets-25-million-supporters-will-another-direct-payment-3245377,,Danielle Ong,NA
7/6/21,Why a fourth stimulus check isn't likely anytime soon,Business Insider,Quote,https://www.businessinsider.com/fourth-stimulus-check-not-likely-soon-biden-stimulus-direct-payment-2021-7,,Joseph Zeballos-Roig,NA
7/7/21,Polanyi-ish,Commonwealth Magazine,Quote,https://www.commonwealmagazine.org/polanyi-ish,,Matt Mazewski,NA
7/11/21,America's post-pandemic rebound could blow the 2009 economic recovery out of the water,Business Insider,Quote,https://www.businessinsider.com/post-pandemic-economy-rebound-faster-than-2009-recovery-great-recession-2021-7,,Joseph Zeballos-Roig,NA
7/15/21,How Worried Should You Be About Inflation?,New York Times,Quote,https://www.nytimes.com/2021/07/15/opinion/inflation-biden-economy-climate.html,,Spencer Bokat-Lindell,NA
7/21/21,The GOPâ€™s favorite spin about Bidenâ€™s plans just took a big hit,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/07/21/biden-infrastructure-job-plan-inflation-republicans/,,Greg Sargent,NA
7/21/21,The Case for 38 Million More U.S. Jobs by 2031,The Overshoot,Quote,https://theovershoot.co/p/the-case-for-38-million-more-us-jobs,,Matthew C. Klein,NA
7/21/21,"Reimagining Full Employment (with J.W. Mason, Lauren Melodia)",Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/reimagining-full-employment-28-million-more-jobs-and-a-more-equal-economy/,,NA,NA
7/23/21,This week in Bidenomics: Crazy talk on inflation,Yahoo! Finance,Quote,https://finance.yahoo.com/news/this-week-in-bidenomics-crazy-talk-on-inflation-165541600.html,,Rick Newman,NA
7/23/21,Millennials Getting Raises Have Retiring Boomers to Thank,Bloomberg,Quote,https://www.bloomberg.com/opinion/articles/2021-07-23/millennials-getting-raises-have-retiring-boomers-to-thank?sref=gMvqgK3G,,Justin Fox,NA
7/23/21,The Political Brilliance of the American Rescue Plan,The Nation,Article,https://www.thenation.com/article/economy/american-rescue-plan/,,Mike Konczal,Biden's stimulus plan took the question of recovery off the table. Now the Democrats can focus on passing large-scale economic reforms.
8/3/21,The New Economics Is Here,The New Republic,Article,https://newrepublic.com/article/163154/democrats-infrastructure-spending-new-economics,,"Felicia Wong, Mike Konczal, Steph Sterling",NA
8/6/21,Biden could start reshaping the Fed next month â€” and progressives will want a say,CNBC,Quote,https://www.cnbc.com/2021/08/06/biden-could-start-reshaping-the-fed-next-month-and-progressives-will-want-a-say.html,,Thomas Franck,NA
8/13/21,"If You Skip the Vaccine, It Is My â€�Damn Businessâ€™",New York Times,Quote,https://www.nytimes.com/2021/08/13/opinion/covid-vaccine-freedom.html,,Jamelle Bouie,NA
8/17/21,The Untold Truth of Modest Mouse,Grunge,Quote,https://www.grunge.com/489784/the-untold-truth-of-modest-mouse/,,Blake Collier,NA
8/18/21,Infrastructure plans inch forward,POLITICO,Quote,https://www.politico.com/newsletters/morning-money/2021/08/18/infrastructure-plans-inch-forward-797218,,"Victoria Guida, Aubree Eliza Weaver",NA
8/19/21,Republican senator calls on Biden to reappoint Powell to top Fed job,Reuters,Quote,https://www.reuters.com/world/us/republican-senator-urges-biden-reappoint-powell-fed-chief-2021-08-19/,,"Ann Saphir, Trevor Hunnicutt",NA
8/23/21,Scoring Bidenâ€™s â€�Care Economyâ€™ Plan,New York Times,Quote,https://www.nytimes.com/2021/08/23/opinion/biden-infrastructure-CBO.html,,Peter Coy,NA
8/25/21,Fed reappointment splits progressives,The Hill,Quote,https://thehill.com/policy/finance/569229-fed-reappointment-splits-progressives,,Sylvan Lane,NA
8/26/21,Labor Day,Patheos,Quote,https://www.patheos.com/blogs/workingcatholic/2021/08/labor-day-2/,,William Droel,NA
8/27/21,Jeromonomics: Indicator Of The Week,The Indicator from Planet Money,Radio,https://www.npr.org/2021/08/27/1031881545/jeromonomics-indicator-of-the-week,,"Darian Woods, Sally Herships",NA
9/1/21,Why Progressives Should Want Powell to Stay at the Fed,Washington Monthly,Quote,https://washingtonmonthly.com/2021/09/01/why-progressives-should-want-powell-to-stay-at-the-fed/,,Bill Scher,NA
9/3/21,Jerome Powellâ€™s Record on the Economy and Full Employment,The FinReg Pod,Podcast,https://thefinregpod.libsyn.com/jerome-powells-record-on-the-economy-and-full-employment,,Lee Reiners,NA
9/5/21,Labor Day is a celebration of solidarity â€” and freedom,Washington Post,Quote,https://www.washingtonpost.com/opinions/2021/09/05/labor-day-celebrates-solidarity-freedom/,,E.J. Dionne Jr.,NA
9/9/21,â€śNeoliberalism has really rupturedâ€ť: Adam Tooze on the legacy of 2020,Vox,Quote,https://www.vox.com/22648254/neoliberalism-adam-tooze-2020-economy-covid-pandemic,,Zack Beauchamp,NA
9/10/21,The Federal Reserve's regulatory issues,Vox - The Weeds,Podcast,https://www.vox.com/the-weeds,,Matt Yglesias,NA
9/15/21,"Ten Years After Occupy Wall Street, Another World Is Still Possible",Truthout,Quote,https://truthout.org/audio/ten-years-after-occupy-wall-street-another-world-is-still-possible/,,Kelly Hayes,NA
9/19/21,A Socialist Primer on Monetary Policy and Inflation,Jacobin Magazine,Quote,https://jacobinmag.com/2021/09/socialist-primer-monetary-policy-inflation-federal-reserve-volcker-shock-class-tim-barker-interview,,"Daniel Denvir, Tim Barker",NA
9/23/21,Lending in a crisis: Reviewing the Federal Reserve's Emergency Lending Powers During the Pandemic,House Subcommittee Testimony,White Paper,https://rooseveltinstitute.org/publications/testimony-before-the-house-financial-services-committee-subcommittee-on-national-security-international-development-and-monetary-policy/,,NA,NA
9/24/21,"Analysis: Fed's bond-buying program may be on the way out, but it's not going far",Reuters,Quote,https://www.reuters.com/business/finance/feds-bond-buying-program-may-be-way-out-its-not-going-far-2021-09-24/,,Howard Schneider,NA
9/28/21,How Joe Biden could end the debt ceiling â€” all by himself,Vox,Quote,https://www.vox.com/policy-and-politics/22684328/us-debt-ceiling-government-shutdown-biden-democrats,,Dylan Matthews,NA
10/15/21,Ignore the Naysayers. A Full-Employment Recovery Is Possible.,The Nation,Article,https://www.thenation.com/article/economy/inflation-jobs-recovery/,,Mike Konczal,NA
10/19/21,Joe Manchin Doesnâ€™t Like What Joe Biden Is Doing,New York Times,Quote,https://www.nytimes.com/2021/10/19/opinion/manchin-biden-child-tax-credit.html?referringSource=articleShare,,Jamelle Bouie,NA
10/29/21,Work Is So Bad That People Are Quitting in Droves. We Should See That as a Good Thing.,Mother Jones,Quote,https://www.motherjones.com/politics/2021/10/whats-behind-great-regisnation-quits-labor-shortage-meaning/,,Jacob Rosenberg,NA
10/29/21,US wages jump by the most in records dating back 20 years,AP News,Quote,https://apnews.com/article/business-wages-salaries-increase-8ce98ea3bcc14c4810eb5a1111e1df49,,Christopher Rugaber,NA
11/2/21,Who Is Paying for the Public Life?,Slate,Quote,https://slate.com/news-and-politics/2021/11/ucsb-munger-hall-windowless-dorm-privatization-public-space.html,,Alexander Luckamnn,NA
11/3/21,Whoâ€™s winning the age-old battle between bosses and workers?,DeseretNews,Quote,https://www.deseret.com/utah/2021/11/3/22761513/whos-winning-age-old-battle-between-bosses-workers-labor-shortage-jobs,,Art Raymond,NA
11/13/21,Inflation poses new challenges for progressives,The Hill,Quote,https://thehill.com/policy/finance/budget/581355-progressives-bullish-that-social-spending-bill-will-address-inflation,,Naomi Jagoda,NA
11/14/21,A New Lochner Era,Berkeley Political Review,Quote,https://bpr.berkeley.edu/2021/11/14/a-new-lochner-era/,,Aayush Singh,NA
11/22/21,Jeromonomics 2.0,NPR - WNYC,Podcast,https://www.npr.org/transcripts/1058161193,,Darian Woods,NA
11/22/21,The Federal Reserveâ€™s Reckoning on Racial Equity,NextCity,Quote,https://nextcity.org/features/view/the-federal-reserves-reckoning-on-racial-equity,,Oscar Perry Abello,NA
11/24/21,"November 23, 2021 - Alan Leveritt | Tyson Slocum | Mike Konczal",Background Briefing,Podcast,https://soundcloud.com/user-830442635/november-23-2021-alan-leveritt-tyson-slocum-mike-konczal,,Ian Masters,NA
12/9/21,New jobless claims hit a 52-year low. How will the media spin that to be bad for Biden?,Daily Kos,Quote,https://www.dailykos.com/stories/2021/12/9/2068388/-New-jobless-claims-hit-a-52-year-low-How-will-the-media-spin-that-to-be-bad-for-Biden,,Laura Clawson,NA
12/14/21,"Democrats' COVID-19 stimulus package created millions of jobs, report finds",The American Independent,Quote,https://americanindependent.com/american-rescue-plan-covid-19-stimulus-package-jobs-economy-joe-biden-democrats/,,Nick Vachon,NA
12/21/21,How the 2020s Economy Could Resemble the 1980s,New York Times,Quote,https://www.nytimes.com/2021/12/21/upshot/how-the-2020s-economy-could-resemble-the-1980s.html,,Neil Irwin,NA
12/22/21,The Best Political Economy Books of 2021,ProMarket,Quote,https://promarket.org/2021/12/22/best-political-economy-books-2021-eeckhout-banks-brown-posner-rakoff/,,Asher Schechter,NA
12/25/21,The Best of the Best: Who to Follow in 2022,Apricitas,Quote,https://apricitas.substack.com/p/the-best-of-the-best-who-to-follow,,Joseph Politano,NA
12/31/21,Money has never felt more fake,Vox,Quote,https://www.vox.com/the-goods/22832438/nft-gamestop-amc-crypto-bubble,,Emily Stewart,NA
1/3/22,Why President Biden is suddenly talking about meat,Washington Post,Quote,https://www.washingtonpost.com/opinions/2022/01/03/biden-new-plan-meat-industry/,,"Paul Waldman, Greg Sargent",NA
1/7/22,The Revolution Against Low-Wage Work,The Nation,Article,https://www.thenation.com/article/economy/jobs-wages-recovery/,,Mike Konczal,Workers used the additional resources of the past year to demand better pay and conditions.
1/10/22,Bidenâ€™s Deep State is on Substack,POLITICO,Quote,https://www.politico.com/newsletters/west-wing-playbook/2022/01/10/bidens-deep-state-is-on-substack-495668,,"Alex Thompson, Tina Sfondeles, Max Tani",NA
